ct_id,geo,units_total,units_bachelor,units_1br,units_2br,units_3br_plus,share_bachelor,share_1br,share_2br,share_3br_plus,rent_bachelor,rent_1br,rent_2br,rent_3br_plus,rent_total,vacancy_bachelor,vacancy_1br,vacancy_2br,vacancy_3br_plus,vacancy_total,median_household_income_2020,annual_rent_total,rent_income_pct,affordability_tier
120.01,0120.01 - Winnipeg,86.0,0.0,33.0,43.0,10.0,0.0,0.3837209302325581,0.5,0.1162790697674418,,,,,,,,,,,95000.0,,,
120.03,0120.03 - Winnipeg,270.0,0.0,159.0,105.0,6.0,0.0,0.5888888888888889,0.3888888888888889,0.0222222222222222,,,,,,,,,,,72500.0,,,
120.04,0120.04 - Winnipeg,,,,,,,,,,,,,,,,,,,,91000.0,,,
120.05,0120.05 - Winnipeg,30.0,5.0,0.0,25.0,0.0,0.1666666666666666,0.0,0.8333333333333334,0.0,,,,,,,,,,,136000.0,,,
121.0,0121.00 - Winnipeg,47.0,0.0,19.0,28.0,0.0,0.0,0.4042553191489361,0.5957446808510638,0.0,,,1190.0,,1051.0,,,,,4.3,87000.0,12612.0,14.496551724137932,Lower relative burden
122.01,0122.01 - Winnipeg,45.0,1.0,22.0,18.0,4.0,0.0222222222222222,0.4888888888888889,0.4,0.0888888888888888,,,,,,,,,,,80000.0,,,
122.02,0122.02 - Winnipeg,72.0,0.0,18.0,36.0,18.0,0.0,0.25,0.5,0.25,,,,,,,,,,,93000.0,,,
123.0,0123.00 - Winnipeg,149.0,1.0,51.0,97.0,0.0,0.0067114093959731,0.3422818791946309,0.6510067114093959,0.0,,,,,,,,0.0,,0.0,78500.0,,,
130.01,0130.01 - Winnipeg,283.0,3.0,150.0,130.0,0.0,0.0106007067137809,0.5300353356890459,0.4593639575971731,0.0,,1010.0,1121.0,,1042.0,,1.9,0.0,,1.3,76000.0,12504.0,16.45263157894737,Moderate relative burden
130.02,0130.02 - Winnipeg,,0.0,617.0,541.0,29.0,,,,,,1058.0,1105.0,,1085.0,,0.4,1.6,,0.9,65000.0,13020.0,20.03076923076923,Higher relative burden
131.0,0131.00 - Winnipeg,97.0,0.0,30.0,64.0,3.0,0.0,0.3092783505154639,0.6597938144329897,0.0309278350515463,,,1111.0,,1027.0,,,,,,65500.0,12324.0,18.81526717557252,Moderate relative burden
132.0,0132.00 - Winnipeg,168.0,2.0,134.0,32.0,0.0,0.0119047619047619,0.7976190476190477,0.1904761904761904,0.0,,,,,,,,,,,87000.0,,,
133.0,0133.00 - Winnipeg,217.0,4.0,89.0,123.0,1.0,0.0184331797235023,0.4101382488479262,0.5668202764976958,0.0046082949308755,,,,,,,,,,,77500.0,,,
134.0,0134.00 - Winnipeg,683.0,48.0,421.0,211.0,3.0,0.0702781844802342,0.616398243045388,0.3089311859443631,0.0043923865300146,802.0,988.0,1307.0,,1084.0,,0.7,0.4,,0.6,75000.0,13008.0,17.344,Moderate relative burden
140.01,0140.01 - Winnipeg,376.0,0.0,90.0,199.0,87.0,0.0,0.2393617021276596,0.5292553191489362,0.2313829787234042,,,,,,,,,,,83000.0,,,
140.02,0140.02 - Winnipeg,89.0,0.0,25.0,48.0,16.0,0.0,0.2808988764044944,0.5393258426966292,0.1797752808988764,,,,,,,,,,,110000.0,,,
140.04,0140.04 - Winnipeg,,16.0,331.0,928.0,126.0,,,,,1139.0,1381.0,1669.0,1784.0,1599.0,0.0,0.3,0.4,0.0,0.4,95000.0,19188.0,20.197894736842105,Higher relative burden
140.05,0140.05 - Winnipeg,515.0,0.0,97.0,378.0,40.0,0.0,0.1883495145631068,0.7339805825242719,0.0776699029126213,,1352.0,1594.0,1835.0,1564.0,,0.0,0.4,0.0,0.3,101000.0,18768.0,18.58217821782178,Moderate relative burden
141.01,0141.01 - Winnipeg,885.0,34.0,398.0,383.0,70.0,0.0384180790960452,0.4497175141242938,0.4327683615819209,0.0790960451977401,,1419.0,1689.0,,1549.0,,1.1,0.0,,0.6,71500.0,18588.0,25.9972027972028,Highest relative burden
141.02,0141.02 - Winnipeg,805.0,25.0,488.0,290.0,2.0,0.031055900621118,0.6062111801242236,0.3602484472049689,0.0024844720496894,869.0,1081.0,1201.0,,1118.0,,0.5,0.3,,0.4,60400.0,13416.0,22.21192052980133,Higher relative burden
