ct_id,geo,units_total,units_bachelor,units_1br,units_2br,units_3br_plus,share_bachelor,share_1br,share_2br,share_3br_plus,rent_bachelor,rent_1br,rent_2br,rent_3br_plus,rent_total,vacancy_bachelor,vacancy_1br,vacancy_2br,vacancy_3br_plus,vacancy_total,median_household_income_2020,annual_rent_total,rent_income_pct,affordability_tier
0051.01,0051.01 - Winnipeg,223.0,2.0,58.0,130.0,33.0,0.008968609865470852,0.2600896860986547,0.5829596412556054,0.14798206278026907,,,1539.0,,1575.0,,1.7,1.6,,1.4,111000.0,18900.0,17.027027027027028,Moderate relative burden
0051.02,0051.02 - Winnipeg,,,,,,,,,,,,,,,,,,,,110000.0,,,
0051.03,0051.03 - Winnipeg,214.0,0.0,71.0,107.0,36.0,0.0,0.3317757009345794,0.5,0.16822429906542055,,,,,,,,,,,93000.0,,,
0052.00,0052.00 - Winnipeg,,,,,,,,,,,,,,,,,,,,,,,
0100.01,0100.01 - Winnipeg,60.0,0.0,8.0,52.0,0.0,0.0,0.13333333333333333,0.8666666666666667,0.0,,,,,,,,,,,125000.0,,,
0100.02,0100.02 - Winnipeg,,,,,,,,,,,,,,,,,,,,144000.0,,,
0100.05,0100.05 - Winnipeg,165.0,0.0,51.0,114.0,0.0,0.0,0.3090909090909091,0.6909090909090909,0.0,,,,,,,,,,,90000.0,,,
0100.06,0100.06 - Winnipeg,621.0,0.0,159.0,452.0,10.0,0.0,0.2560386473429952,0.7278582930756844,0.01610305958132045,,1352.0,1796.0,,1652.0,,1.4,,,0.5,86000.0,19824.0,23.051162790697674,Highest relative burden
0100.07,0100.07 - Winnipeg,190.0,0.0,15.0,166.0,9.0,0.0,0.07894736842105263,0.8736842105263158,0.04736842105263158,,,,,,,,,,,80000.0,,,
0100.09,0100.09 - Winnipeg,,,,,,,,,,,,,,,,,,,,133000.0,,,
0100.10,0100.10 - Winnipeg,144.0,0.0,36.0,108.0,0.0,0.0,0.25,0.75,0.0,,,,,,,,,,,105000.0,,,
0101.01,0101.01 - Winnipeg,446.0,2.0,241.0,199.0,4.0,0.004484304932735426,0.5403587443946188,0.4461883408071749,0.008968609865470852,,1174.0,1265.0,,1223.0,,0.7,0.4,,0.5,91000.0,14676.0,16.127472527472527,Lower relative burden
0101.02,0101.02 - Winnipeg,,,,,,,,,,,,,,,,,,,,109000.0,,,
0102.01,0102.01 - Winnipeg,244.0,0.0,66.0,150.0,28.0,0.0,0.27049180327868855,0.6147540983606558,0.11475409836065574,,,,,,,,,,,79500.0,,,
0102.02,0102.02 - Winnipeg,839.0,40.0,483.0,310.0,6.0,0.04767580452920143,0.5756853396901073,0.3694874851013111,0.007151370679380214,893.0,1158.0,1284.0,,1194.0,,3.3,0.0,,1.7,63200.0,14328.0,22.67088607594937,Higher relative burden
0102.03,0102.03 - Winnipeg,733.0,11.0,366.0,344.0,12.0,0.015006821282401092,0.49931787175989084,0.4693042291950887,0.01637107776261937,,1009.0,1345.0,,1204.0,,,,,,60400.0,14448.0,23.920529801324502,Highest relative burden
