ct_id,units_bachelor,units_1br,units_2br,units_3br_plus,units_total,share_bachelor,share_1br,share_2br,share_3br_plus,log_units_total,vacancy_bachelor,vacancy_1br,vacancy_2br,vacancy_3br_plus,vacancy_total,vacancy_bachelor_reliability,vacancy_1br_reliability,vacancy_2br_reliability,vacancy_3br_plus_reliability,vacancy_total_reliability,rent_bachelor,rent_1br,rent_2br,rent_3br_plus,rent_total,rent_bachelor_reliability,rent_1br_reliability,rent_2br_reliability,rent_3br_plus_reliability,rent_total_reliability,geo,statcan_dguid,median_household_income_2020
0120.03,0.0,159.0,105.0,6.0,270.0,0.0,0.5888888888888889,0.3888888888888889,0.022222222222222223,5.602118820879701,,,,,,',',',',',,,,,,',',',',',0120.03 - Winnipeg,2021S05076020120.03,72500.0
0120.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0120.04 - Winnipeg,2021S05076020120.04,91000.0
0120.05,5.0,0.0,25.0,0.0,30.0,0.16666666666666666,0.0,0.8333333333333334,0.0,3.4339872044851463,,,,,,',',',',',,,,,,',',',',',0120.05 - Winnipeg,2021S05076020120.05,136000.0
0121.00,0.0,19.0,28.0,0.0,47.0,0.0,0.40425531914893614,0.5957446808510638,0.0,3.871201010907891,,,,,4.3,',',',',c,,,1190.0,,1051.0,',',b,',b,0121.00 - Winnipeg,2021S05076020121.00,87000.0
0122.01,1.0,22.0,18.0,4.0,45.0,0.022222222222222223,0.4888888888888889,0.4,0.08888888888888889,3.828641396489095,,,,,,',',',',',,,,,,',',',',',0122.01 - Winnipeg,2021S05076020122.01,80000.0
0122.02,0.0,18.0,36.0,18.0,72.0,0.0,0.25,0.5,0.25,4.290459441148391,,,,,,',',',',',,,,,,',',',',',0122.02 - Winnipeg,2021S05076020122.02,93000.0
0123.00,1.0,51.0,97.0,0.0,149.0,0.006711409395973154,0.3422818791946309,0.6510067114093959,0.0,5.0106352940962555,,,0.0,,0.0,',',d,',d,,,,,,',',',',',0123.00 - Winnipeg,2021S05076020123.00,78500.0
0130.01,3.0,150.0,130.0,0.0,283.0,0.01060070671378092,0.5300353356890459,0.45936395759717313,0.0,5.648974238161206,,1.9,0.0,,1.3,',c,d,',d,,1010.0,1121.0,,1042.0,',b,b,',b,0130.01 - Winnipeg,2021S05076020130.01,76000.0
0130.02,0.0,617.0,541.0,29.0,,,,,,,,0.4,1.6,,0.9,',b,c,',a,,1058.0,1105.0,,1085.0,',a,a,',a,0130.02 - Winnipeg,2021S05076020130.02,65000.0
0131.00,0.0,30.0,64.0,3.0,97.0,0.0,0.30927835051546393,0.6597938144329897,0.030927835051546393,4.584967478670572,,,,,,',',',',',,,1111.0,,1027.0,',',d,',d,0131.00 - Winnipeg,2021S05076020131.00,65500.0
0132.00,2.0,134.0,32.0,0.0,168.0,0.011904761904761904,0.7976190476190477,0.19047619047619047,0.0,5.1298987149230735,,,,,,',',',',',,,,,,',',',',',0132.00 - Winnipeg,2021S05076020132.00,87000.0
0133.00,4.0,89.0,123.0,1.0,217.0,0.018433179723502304,0.41013824884792627,0.5668202764976958,0.004608294930875576,5.384495062789089,,,,,,',',',',',,,,,,',',',',',0133.00 - Winnipeg,2021S05076020133.00,77500.0
0134.00,48.0,421.0,211.0,3.0,683.0,0.07027818448023426,0.616398243045388,0.3089311859443631,0.004392386530014641,6.52795791762255,,0.7,0.4,,0.6,',b,b,',b,802.0,988.0,1307.0,,1084.0,a,a,b,',a,0134.00 - Winnipeg,2021S05076020134.00,75000.0
0140.01,0.0,90.0,199.0,87.0,376.0,0.0,0.2393617021276596,0.5292553191489362,0.23138297872340424,5.932245187448011,,,,,,',',',',',,,,,,',',',',',0140.01 - Winnipeg,2021S05076020140.01,83000.0
0140.02,0.0,25.0,48.0,16.0,89.0,0.0,0.2808988764044944,0.5393258426966292,0.1797752808988764,4.499809670330265,,,,,,',',',',',,,,,,',',',',',0140.02 - Winnipeg,2021S05076020140.02,110000.0
0140.04,16.0,331.0,928.0,126.0,,,,,,,0.0,0.3,0.4,0.0,0.4,a,a,a,d,a,1139.0,1381.0,1669.0,1784.0,1599.0,a,a,a,a,a,0140.04 - Winnipeg,2021S05076020140.04,95000.0
0140.05,0.0,97.0,378.0,40.0,515.0,0.0,0.1883495145631068,0.7339805825242719,0.07766990291262135,6.246106765481563,,0.0,0.4,0.0,0.3,',a,a,a,a,,1352.0,1594.0,1835.0,1564.0,',a,a,a,a,0140.05 - Winnipeg,2021S05076020140.05,101000.0
0141.01,34.0,398.0,383.0,70.0,885.0,0.0384180790960452,0.4497175141242938,0.4327683615819209,0.07909604519774012,6.786716950605081,,1.1,0.0,,0.6,',a,d,',b,,1419.0,1689.0,,1549.0,',a,a,',a,0141.01 - Winnipeg,2021S05076020141.01,71500.0
0141.02,25.0,488.0,290.0,2.0,805.0,0.031055900621118012,0.6062111801242236,0.36024844720496896,0.002484472049689441,6.692083742506628,,0.5,0.3,,0.4,',b,b,',b,869.0,1081.0,1201.0,,1118.0,b,a,b,',a,0141.02 - Winnipeg,2021S05076020141.02,60400.0
0142.01,4.0,218.0,166.0,0.0,388.0,0.010309278350515464,0.5618556701030928,0.42783505154639173,0.0,5.963579343618446,,,,,,',',',',',,1001.0,1276.0,,1118.0,',b,c,',b,0142.01 - Winnipeg,2021S05076020142.01,72500.0
